2017-08-18 14:18:21.423 +0530	START		Running Master_Script.script
2017-08-18 14:18:31.576 +0530	imagefound	RulesOfRoad	Unable to Find Image RulesOfRoad	3	on_master_script	Master_Script.script
2017-08-18 14:18:32.050 +0530	imagefound	Patient_Reg/View	found at (42, 50)	4	on_register_patient	Register_Patient.script
2017-08-18 14:18:34.156 +0530	click	Patient_Reg/View	at (42, 50)	6	on_register_patient	Register_Patient.script
2017-08-18 14:18:35.171 +0530	typetext		Auto, 08/18/17 02:18:31[return]	7	on_register_patient	Register_Patient.script
2017-08-18 14:18:38.062 +0530	imagefound	Patient_Reg/Add_Pat	Unable to Find Image Patient_Reg/Add_Pat	8	on_register_patient	Register_Patient.script
2017-08-18 14:18:39.973 +0530	imagefound	Patient_Reg/Add_Pat	found at (339, 135)	8	on_register_patient	Register_Patient.script
2017-08-18 14:18:40.070 +0530	click	Patient_Reg/Add_Pat	at (339, 135)	9	on_register_patient	Register_Patient.script
2017-08-18 14:18:45.214 +0530	imagefound	Patient_Reg/Facility_Search	found at (69, 111)	10	on_register_patient	Register_Patient.script
2017-08-18 14:18:45.428 +0530	click	Patient_Reg/Facility_Search	at (69, 111)	11	on_register_patient	Register_Patient.script
2017-08-18 14:18:46.415 +0530	typetext		Profit Auto Facility1[return]	12	on_register_patient	Register_Patient.script
2017-08-18 14:18:47.241 +0530	click	Patient_Reg/Sex	at (56, 245)	18	on_register_patient	Register_Patient.script
2017-08-18 14:18:47.994 +0530	typetext		Male	19	on_register_patient	Register_Patient.script
2017-08-18 14:18:48.819 +0530	click	Patient_Reg/DateofBirth	at (283, 245)	20	on_register_patient	Register_Patient.script
2017-08-18 14:18:49.535 +0530	typetext		T	21	on_register_patient	Register_Patient.script
2017-08-18 14:18:50.329 +0530	click	Patient_Reg/Insurance	at (176, 55)	22	on_register_patient	Register_Patient.script
2017-08-18 14:18:51.037 +0530	imagefound	Patient_Reg/AddInsurance_Button	found at (76, 80)	23	on_register_patient	Register_Patient.script
2017-08-18 14:18:51.131 +0530	click	Patient_Reg/AddInsurance_Button	at (76, 80)	24	on_register_patient	Register_Patient.script
2017-08-18 14:18:53.232 +0530	click	Patient_Reg/Insurance	at (116, 55)	26	on_register_patient	Register_Patient.script
2017-08-18 14:18:53.952 +0530	imagefound	Patient_Reg/SearchforHealthPlan	found at (71, 114)	27	on_register_patient	Register_Patient.script
2017-08-18 14:18:54.054 +0530	click	Patient_Reg/SearchforHealthPlan	at (71, 114)	29	on_register_patient	Register_Patient.script
2017-08-18 14:18:54.768 +0530	typetext		[return]	30	on_register_patient	Register_Patient.script
2017-08-18 14:19:01.534 +0530	waitfor	(TEXT:"Starts With")	found at (362, 63)	32	on_register_patient	Register_Patient.script
2017-08-18 14:19:02.834 +0530	click	(TEXT:"Starts With")	at (362, 63)	33	on_register_patient	Register_Patient.script
2017-08-18 14:19:05.369 +0530	click	(TEXT:"Search by Plan Name")	at (380, 89)	35	on_register_patient	Register_Patient.script
2017-08-18 14:19:06.569 +0530	typetext		Profit Medicare	37	on_register_patient	Register_Patient.script
2017-08-18 14:19:07.285 +0530	typetext		[return]	38	on_register_patient	Register_Patient.script
2017-08-18 14:19:10.788 +0530	waitfor	(TEXT:"Unspecified Address")	found at (270, 178)	40	on_register_patient	Register_Patient.script
2017-08-18 14:19:12.449 +0530	click	(TEXT:"Unspecified Address")	at (270, 178)	41	on_register_patient	Register_Patient.script
2017-08-18 14:19:14.711 +0530	click	Patient_Reg/Select	at (808, 698)	43	on_register_patient	Register_Patient.script
2017-08-18 14:19:15.445 +0530	imagefound	Patient_Reg/SearchforHealthPlan	found at (71, 114)	44	on_register_patient	Register_Patient.script
2017-08-18 14:19:15.615 +0530	click	Patient_Reg/AddressLine1	at (69, 260)	45	on_register_patient	Register_Patient.script
2017-08-18 14:19:16.864 +0530	typetext		Address line one	46	on_register_patient	Register_Patient.script
2017-08-18 14:19:17.720 +0530	click	Patient_Reg/AddressLine2	at (401, 262)	47	on_register_patient	Register_Patient.script
2017-08-18 14:19:19.001 +0530	typetext		Address Line two	48	on_register_patient	Register_Patient.script
2017-08-18 14:19:19.926 +0530	click	Patient_Reg/ZipCode	at (267, 305)	49	on_register_patient	Register_Patient.script
2017-08-18 14:19:20.844 +0530	typetext		112233	50	on_register_patient	Register_Patient.script
2017-08-18 14:19:21.693 +0530	click	Patient_Reg/City	at (436, 305)	51	on_register_patient	Register_Patient.script
2017-08-18 14:19:22.564 +0530	typetext		City	52	on_register_patient	Register_Patient.script
2017-08-18 14:19:23.435 +0530	click	Patient_Reg/State	at (703, 304)	53	on_register_patient	Register_Patient.script
2017-08-18 14:19:24.200 +0530	typetext		U	54	on_register_patient	Register_Patient.script
2017-08-18 14:19:25.070 +0530	click	Patient_Reg/County	at (918, 304)	55	on_register_patient	Register_Patient.script
2017-08-18 14:19:25.841 +0530	typetext		A	56	on_register_patient	Register_Patient.script
